"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT21"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01","151.6","10.69","13.13","8.25",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02","68.5","12.22","15.08","9.36",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03","70.7","12.81","16.92","8.71",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04","69.9","13.06","17.09","9.03",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05","17.6","14.20","18.16","10.24",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06","0.0","16.88","21.03","12.73",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-07","0.0","17.20","21.12","13.27",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-08","0.0","17.50","21.81","13.20",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-09","0.3","20.30","25.65","14.94",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-10","21.4","18.37","22.43","14.31",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-11","61.3","12.76","16.88","8.65",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-12","152.5","11.17","13.78","8.56",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-01","23.9","10.28","13.74","6.81",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-02","121.6","10.33","14.55","6.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-03","144.9","12.05","15.48","8.62",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-04","8.5","13.05","16.80","9.31",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-05","12.0","13.81","17.72","9.91",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-06","37.9","15.84","20.08","11.61",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-07","0.0","17.07","21.47","12.67",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-08","0.0","16.76","20.78","12.74",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-09","0.3","18.14","23.19","13.09",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-10","30.0","17.23","21.81","12.66",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-11","39.5","12.12","15.55","8.69",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-12","3.3","9.59","13.73","5.45",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-01","54.8","10.30","14.48","6.12",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-02","16.7","11.24","15.28","7.19",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-03","120.8","11.80","15.54","8.07",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-04","71.0","13.85","17.81","9.88",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-05","0.0","14.67","19.23","10.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-06","2.3","16.35","21.06","11.64",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-07","0.0","16.91","21.15","12.67",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-08","0.0","16.47","20.45","12.49",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-09","0.0","15.90","20.16","11.64",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-10","18.0","17.41","21.90","12.93",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-11","103.1","14.51","18.48","10.53",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-12","158.5","11.03","14.11","7.95",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-01","5.0","9.25","13.12","5.37",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-02","17.1","10.48","14.72","6.25",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-03","12.4","12.57","16.94","8.21",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-04","12.1","14.70","19.67","9.73",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-05","0.3","15.79","20.20","11.37",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-06","1.3","17.06","21.54","12.58",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-07","0.0","17.13","21.51","12.75",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-08","0.0","18.02","21.98","14.05",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-09","5.8","18.61","23.23","14.00",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-10","0.0","15.99","20.99","11.00",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-11","23.1","14.02","18.19","9.85",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-12","8.9","9.86","14.55","5.16",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-01","0.3","12.84","17.81","7.86",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-02","95.7","12.71","16.05","9.37",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-03","49.1","15.02","19.08","10.97",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-04","40.8","15.62","20.19","11.04",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-05","0.0","17.49","22.24","12.74",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-06","0.0","17.92","22.77","13.07",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-07","0.0","19.39","23.81","14.96",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-08","0.0","19.46","23.35","15.57",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-09","10.7","20.22","24.31","16.12",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-10","7.9","20.36","25.18","15.55",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-11","50.5","15.36","19.24","11.47",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2014-12","270.8","13.77","16.59","10.95",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-01","0.0","12.18","16.11","8.25",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-02","51.0","14.79","18.79","10.80",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-03","1.5","15.74","20.50","10.97",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-04","32.5","14.81","19.35","10.27",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-05","0.6","14.73","17.82","11.64",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-06","6.6","17.11","21.57","12.64",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-07","0.0","19.25","23.31","15.19",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-08","0.0","20.00","24.23","15.78",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-09","0.5","19.48","24.66","14.29",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-10","0.0","18.65","23.18","14.13",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-11","36.2","12.39","16.48","8.30",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2015-12","85.7","10.28","13.24","7.31",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-01","141.7","11.50","13.89","9.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-02","21.6","13.86","18.42","9.29",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-03","130.6","14.29","17.70","10.88",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-04","20.9","15.72","20.00","11.43",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-05","1.4","16.14","20.21","12.08",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-06","0.0","17.42","22.22","12.61",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-07","0.0","17.18","21.67","12.68",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-08","0.0","17.66","21.62","13.70",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-09","0.0","18.22","23.09","13.34",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-10","70.6","17.42","21.38","13.46",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-11","39.2","14.61","18.05","11.16",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2016-12","117.6","10.37","13.77","6.96",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-01","237.0","10.33","13.58","7.08",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-02","188.8","12.49","15.44","9.55",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-03","75.3","13.86","17.83","9.89",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-04","55.9","14.69","18.98","10.40",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-05","0.0","16.06","21.01","11.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-06","1.3","17.31","21.57","13.04",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07","0.0","17.92","22.68","13.15",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08","0.0","18.81","22.80","14.82",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09","5.6","20.98","26.13","15.83",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10","5.3","17.89","23.67","12.10",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11","70.4","14.47","18.00","10.95",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-12","1.8","11.05","15.25","6.85",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-01","123.2","11.93","14.90","8.95",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-02","9.9","12.70","17.59","7.81",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03","84.5","12.89","17.07","8.71",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04","57.0","14.61","18.71","10.51",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05","0.3","15.86","19.53","12.19",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06","0.0",,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07","0.0",,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08","0.0","17.13","21.38","12.88",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-09","0.0","16.74","21.30","12.18",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-10","4.1","17.07","22.25","11.89",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-11","78.0","13.81","18.42","9.20",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-12","42.0","11.39","14.67","8.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-01","116.5","12.77","16.06","9.48",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-02","182.7","9.98","13.27","6.70",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-03","113.6","12.52","16.59","8.45",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-04","5.2","14.96","19.41","10.51",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-05","50.7","14.75","18.49","11.02",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-06","0.0","18.44","23.78","13.10",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-07","0.0","18.20","22.64","13.77",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-08","0.0","20.22","25.18","15.25",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-09","1.5","20.05","25.03","15.06",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-10","0.0","17.81","23.91","11.72",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-11","32.7","13.53","18.18","8.87",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2019-12","94.2","11.92","14.90","8.94",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01","30.3","11.18","14.59","7.77",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02","0.0","12.96","18.08","7.85",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03","33.6","12.71","16.66","8.75",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04","34.6","14.35","18.58","10.12",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05","6.4","16.93","22.13","11.73",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06","0.0","18.12","23.36","12.89",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07","0.0","17.64","22.40","12.89",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08","1.3","19.45","24.52","14.39",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09","0.0","20.35","25.79","14.91",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10","0.0","19.26","25.42","13.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11","8.0","13.08","18.06","8.09",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12","35.4","11.81","16.17","7.46",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-01","74.2","11.81","15.53","8.10",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-02","31.9","12.92","17.32","8.51",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-03","35.2","12.74","17.27","8.21",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-04","0.0","14.29","18.40","10.17",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-05","0.0","15.61","20.08","11.13",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-06","0.0","18.76","23.13","14.40",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07","0.0","18.01","22.24","13.78",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08","0.0","18.56","23.02","14.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09","0.0","18.28","22.99","13.58",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-10","148.4","16.74","21.00","12.47",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-11","16.0","14.77","18.59","10.95",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-12","249.2","10.51","13.20","7.82",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2022-01","10.7","11.26","15.16","7.35",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2022-02","0.3","12.44","17.88","7.01",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2022-03","11.2","13.16","17.59","8.73",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2022-04",,,,,,,,
